sample_number,sample_code,plant_part,harvest_year,nitrogen_ppm,phosphorus_ppm,potassium_ppm,irrigation_levels,crop_rotation,field_or_greenhouse,species,harvest_year_desc,irrigation_desc,crop_rotation_desc,environment,total_fat_g_100_g_dw,crude_protein_g_100_g_dw,ash_g_100_g_dw,fiber_g_100_g_dw,carbohydrates_g_100_g_dw,energy_kcal_100_g_dw,oxalic_acid_mg_100_g_dw,quinic_acid_mg_100_g_dw,malic_acid_mg_100_g_dw,shikinic_acid_mg_100_g_dw,succinic_acid_mg_100_g_dw,citric_acid_mg_100_g_dw,total_acids_mg_100_g_dw,c6:0,c8:0,c10:0,c11:0,c12:0,c13:0,c14:0,c14:1,c15:0,c15:1,c16:0,c16:1,c17:0,c17:1,c18:0,c18:1n9c,c18:2n6c,c18:3n6,c18:3n3,c20:0,c20:2,c21:0,c22:0,c20:3n3,c20:5n3,c22:2,c23:0,c24:0,sfa,mufa,pufa,α-tocopherol_mg_100_g_dw,β-tocopherol_mg_100_g_dw,γ-tocopherol_mg_100_g_dw,total_tocopherols_mg_100_g_dw,fructose_g_100_g_dw,glucose_g_100_g_dw,saccharose_g_100_g_dw,trehalose_g_100_g_dw,raffinose_g_100_g_dw,total_free_sugars_g_100_g_dw,isocitric_acid_mg_g_of_extract,citric_acid_mg_g_of_extract,hydroxytyrosol_hexoside_mg_g_of_extract,cis-o-caffeoylqunic_acid_mg_g_of_extract,3-o-p-coumaroylquinic_acid_mg_g_of_extract,oleraceic_c_mg_g_of_extract,trans-o-caffeoylqunic_acid_mg_g_of_extract,4-o-p-coumaroylquinic_acid_mg_g_of_extract,giag_mg_g_of_extract,"apigenin-6,8-dihexoside_mg_g_of_extract",cis_5-o-caffeoylquinic_acid_mg_g_of_extract,trans_5-o-caffeoylquinic_acid_mg_g_of_extract,cis-5-o-p-coumaroylquinic_acid_mg_g_of_extract,trans-5-o-p-coumaroylquinic_acid_mg_g_of_extract,5-o-feruloylquinic_acid_mg_g_of_extract,chicoric_acid_mg_g_of_extract,oleracein_a_mg_g_of_extract,quercetin-o-deoxyhexosylhexoside_mg_g_of_extract,quercetin-o-deoxyhexosylhexoside_mg_g_of_extract_.1,oleracein_c_mg_g_of_extract,luteolin-o-deoxyhexosylhexoside_mg_g_of_extract,quercetin-o-hexurunoside_mg_g_of_extract,luteolin-o-hexurunoside_mg_g_of_extract,luteolin-o-deoxyhexosylhexoside_mg_g_of_extract_.1,quercetin-o-acetylhexoside_mg_g_of_extract,kaempherol-o-deoxyhexosyl-hexoside_mg_g_of_extract,isorhamnetin-o-deoxyhexosylhexoside_mg_g_of_extract,kaempherol-o-hexurunoside_mg_g_of_extract,apigenin-o-hexurunoside_mg_g_of_extract,isorhamnetin-o-hexurunoside_mg_g_of_extract,diosmetin-o-deoxyhexosylhexoside_mg_g_of_extract,kaempherol-o-acetylhexoside_mg_g_of_extract,isorhamnetin-o-acetylhexoside_mg_g_of_extract,total_phenolic_acids_mg_g_of_extract,total_flavonoids_mg_g_of_extract,total_phenolic_compounds_mg_g_of_extract,tbars_ug_ml,oxhlia_ug_ml,experimental_code
24,SHF3_2,leaves,2,200.0,200.0,200.0,0,0,1,Scolymus_hispanicus,2022,not applied,not applied,Greenhouse,4.844819565361672,15.02119912210694,14.69534050179182,47.13590333536776,18.30273747537179,271.1709291489055,6.984474407888216,3.900533732000282,2.550262578558442,,2.750056798245898,4.005025630409494,20.22562790238482,,,,,,,2.404,,0.22,,3.128,0.383,0.0,,2.348,1.394,13.861,,73.871,1.007,1.007,1.007,,1.007,1.384,,,,9.107000000000001,1.777,89.116,0.409,,,0.409,1.477,2.37,0.448,0.388,,4.683,,,,,,,,,,,,,,,,,,,,,,0.7691549165479882,,,,1.939074898804039,,7.97110250446594,,1.117212190661634,,,,,11.7965445104796,11.7965445104796,409.6875,339.41,SH_L_NPK-N200-P200-K200_22_G
24,SHF3_2,leaves,2,200.0,200.0,200.0,0,0,1,Scolymus_hispanicus,2022,not applied,not applied,Greenhouse,4.792992585788469,14.52117890995261,14.83101391650104,46.8666881865222,18.98812640123568,270.9075308898938,7.077378976315527,3.989962860905513,2.555519432023915,,2.751561831409711,4.081777166492249,20.49158513154754,,,,,,,2.51,,0.23,,3.2,0.4,0.0,,2.2,1.42,13.57,,74.02,1.05,1.05,1.05,,1.05,1.403,,,,9.190000000000001,1.82,88.99300000000001,0.426,,,0.426,1.377,2.285,0.446,0.426,,4.533,,,,,,,,,,,,,,,,,,,,,,0.7711308006037624,,,,1.943152186966835,,8.059797087016404,,1.109782680088686,,,,,11.88386275467569,11.88386275467569,381.9000000000001,362.34,SH_L_NPK-N200-P200-K200_22_G
24,SHF3_2,leaves,2,200.0,200.0,200.0,0,0,1,Scolymus_hispanicus,2022,not applied,not applied,Greenhouse,4.818906075575071,14.77118901602977,14.76317720914643,47.00129576094498,18.64543193830373,271.0392300193996,7.03,3.95,2.55289,,2.75,4.0434,20.36,,,,,,,2.457,,0.225,,3.164,0.3915,0.0,,2.274,1.407,13.7155,,73.9455,1.0285,1.0285,1.0285,,1.0285,1.3935,,,,9.1485,1.7985,89.0545,0.418,,,0.418,1.43,2.33,0.45,0.41,,4.61,,,,,,,,,,,,,,,,,,,,,,0.7701428585758753,,,,1.941113542885437,,8.015449795741173,,1.11349743537516,,,,,11.84020363257764,11.84020363257764,409.8255813953489,314.37,SH_L_NPK-N200-P200-K200_22_G
25,SHF4_2,leaves,2,300.0,100.0,100.0,0,0,1,Scolymus_hispanicus,2022,not applied,not applied,Greenhouse,4.825019587359512,17.63284952606635,13.76840429765264,46.71429088571859,17.05943570320292,275.6228989747498,5.592615015855713,3.061130465104838,2.227454977804133,,2.367758307528513,3.441582370487846,16.69800128278574,,,,,,,3.369,,0.148,,18.224,2.102,0.281,,1.936,1.208,10.632,,59.386,1.211,1.211,1.211,,1.211,1.504,,,,25.169,3.31,71.522,0.366,,,0.366,1.352,2.197,0.674,0.357,,4.581,,,,,,,,,,,,,,,,,,,,,,0.8296358342435789,,,,2.52798099092118,,7.619666962672334,,1.113774293989903,,,,,12.091058081827,12.091058081827,374.5488721804511,372.13,SH_L_NPK-N300-P100-K100_22_G
25,SHF4_2,leaves,2,300.0,100.0,100.0,0,0,1,Scolymus_hispanicus,2022,not applied,not applied,Greenhouse,5.104454736281123,17.31447784810126,13.5748407643314,47.28982281829541,16.7164038329908,276.6432649874892,5.601905472698443,3.075439125729674,2.240597111467816,,2.406889169787654,3.449257524096121,16.78622928839636,,,,,,,3.401,,0.155,,18.002,2.113,0.301,,2.04,1.218,10.87,,59.13,1.23,1.23,1.23,,1.23,1.54,,,,25.129,3.331,71.54,0.371,,,0.371,1.214,1.972,0.605,0.321,,4.113,,,,,,,,,,,,,,,,,,,,,,0.8297698752893232,,,,2.613521178755347,,7.534157233596307,,1.113376407222763,,,,,12.09082469486374,12.09082469486374,402.3355263157894,380.57,SH_L_NPK-N300-P100-K100_22_G
25,SHF4_2,leaves,2,300.0,100.0,100.0,0,0,1,Scolymus_hispanicus,2022,not applied,not applied,Greenhouse,4.964737161820318,17.47366368708381,13.67162253099202,47.002056852007,16.88791976809684,276.1330819811195,5.5973,3.07,2.23,,2.39,3.45,16.74,,,,,,,3.385,,0.1515,,18.113,2.1075,0.291,,1.988,1.213,10.751,,59.258,1.2205,1.2205,1.2205,,1.2205,1.522,,,,25.149,3.3205,71.531,0.369,,,0.369,1.28,2.08,0.64,0.34,,4.35,,,,,,,,,,,,,,,,,,,,,,0.8297028547664511,,,,2.570751084838264,,7.57691209813432,,1.113575350606333,,,,,12.09094138834537,12.09094138834537,403.1879194630872,364.19,SH_L_NPK-N300-P100-K100_22_G
26,SHF5_2,leaves,2,300.0,200.0,200.0,0,0,1,Scolymus_hispanicus,2022,not applied,not applied,Greenhouse,5.365932642487081,16.71444908512331,14.26863292148198,46.19772873684839,17.45325661405925,277.3596740528108,7.154491935883461,6.160121646222994,1.891429019010893,,5.259137719856463,1.778473802186917,22.21173988164738,,,,,,,3.142,,0.204,,17.441,2.438,0.276,,2.226,1.155,9.807,,60.713,1.097,1.097,1.097,,1.097,1.5,,,,24.386,3.593,72.02,0.139,,,0.139,0.884,1.188,0.45,0.248,,2.77,,,,,,,,,,,,,,,,,,,,,,0.6964919373024302,,,,1.912839233438977,,7.120094720808853,,0.9449939411892531,,,,,10.67441983273951,10.67441983273951,387.4999999999999,256.18,SH_L_NPK-N300-P200-K200_22_G
26,SHF5_2,leaves,2,300.0,200.0,200.0,0,0,1,Scolymus_hispanicus,2022,not applied,not applied,Greenhouse,4.989325012317217,16.05636961722488,13.97117694155339,45.88448834925374,19.09864007965077,277.292940596865,7.179266487464076,6.213779123566133,1.899314299209103,,5.319339046408988,1.786148955795193,22.36642916196177,,,,,,,3.116,,0.212,,17.63,2.51,0.29,,2.214,1.09,9.9,,60.39,1.105,1.105,1.105,,1.105,1.545,,,,24.567,3.6,71.83500000000001,0.146,,,0.146,0.898,1.25,0.453,0.233,,2.835,,,,,,,,,,,,,,,,,,,,,,0.7060685662420408,,,,1.904173852813232,,7.251542652039148,,0.9205965627447202,,,,,10.78238163383914,10.78238163383914,372.6724137931034,265.85,SH_L_NPK-N300-P200-K200_22_G
26,SHF5_2,leaves,2,300.0,200.0,200.0,0,0,1,Scolymus_hispanicus,2022,not applied,not applied,Greenhouse,5.177628827402149,16.38540935117409,14.11990493151768,46.04110854305107,18.27594834685502,277.3263073248379,7.17,6.19,1.8954,,5.29,1.7823,22.29,,,,,,,3.129,,0.208,,17.5355,2.474,0.283,,2.22,1.1225,9.8535,,60.5515,1.101,1.101,1.101,,1.101,1.5225,,,,24.4765,3.5965,71.9275,0.143,,,0.143,0.89,1.22,0.45,0.24,,2.8,,,,,,,,,,,,,,,,,,,,,,0.7012802517722355,,,,1.908506543126105,,7.185818686424,,0.9327952519669866,,,,,10.72840073328933,10.72840073328933,379.9159663865546,233.21,SH_L_NPK-N300-P200-K200_22_G
27,SHF6_2,leaves,2,300.0,300.0,300.0,0,0,1,Scolymus_hispanicus,2022,not applied,not applied,Greenhouse,6.543778801843504,15.64490667196188,14.04068607897873,46.93494049222571,16.83568795499018,282.6862687088512,7.461224110593598,7.255063283217403,2.488817846827259,,5.190493157254947,1.952016700423635,24.29447699395542,,,,,,,1.527,,0.0,,20.806,2.477,0.0,,2.549,3.332,11.095,,55.522,1.159,1.159,1.159,,1.159,1.534,,,,26.041,5.808999999999999,68.15100000000001,1.206,,,1.206,2.469,3.083,0.943,0.587,,7.082,,,,,,,,,,,,,,,,,,,,,,1.800795695685755,,,,5.464549807365988,,12.71453251868876,,1.351547806227632,,,,,21.33142582796814,21.33142582796814,721.2962962962962,222.86,SH_L_NPK-N300-P300-K300_22_G
27,SHF6_2,leaves,2,300.0,300.0,300.0,0,0,1,Scolymus_hispanicus,2022,not applied,not applied,Greenhouse,6.292355541005064,16.26274703557312,13.23529411764728,47.5193210315645,16.69028227421005,283.4819591713073,7.643936428500643,7.501887678995844,2.423107178508845,,5.391164245763363,1.967367007640185,24.87432443504746,,,,,,,1.6,,0.0,,21.08,2.43,0.0,,2.49,3.289,10.61,,55.78,1.239,1.239,1.239,,1.239,1.48,,,,26.409,5.719,67.87,1.17,,,1.17,2.42,3.052,0.908,0.584,,6.964,,,,,,,,,,,,,,,,,,,,,,1.709487102575675,,,,5.589366333279066,,12.46170472656231,,1.376244317683952,,,,,21.136802480101,21.136802480101,677.0833333333335,239.46,SH_L_NPK-N300-P300-K300_22_G
27,SHF6_2,leaves,2,300.0,300.0,300.0,0,0,1,Scolymus_hispanicus,2022,not applied,not applied,Greenhouse,6.418067171424284,15.9538268537675,13.637990098313,47.22713076189511,16.76298511460011,283.0841139400792,7.55,7.38,2.46,,5.29,1.96,24.58,,,,,,,1.5635,,0.0,,20.943,2.4535,0.0,,2.5195,3.3105,10.8525,,55.651,1.199,1.199,1.199,,1.199,1.507,,,,26.225,5.764,68.01050000000001,1.188,,,1.188,2.44,3.07,0.93,0.59,,7.02,,,,,,,,,,,,,,,,,,,,,,1.755141399130715,,,,5.526958070322527,,12.58811862262554,,1.363896061955792,,,,,21.23411415403457,21.23411415403457,692.3717948717953,215.56,SH_L_NPK-N300-P300-K300_22_G
1,SPIN1_1,leaves,1,100.0,100.0,100.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,5.593590677348946,20.41518714011516,13.58369956052977,45.12202710259034,15.28549551941578,283.3891009394449,2.073956955831791,3.104705394029959,2.178418430500874,,,2.102478681416746,9.46760326627333,,,,,0.148,1.093,0.395,0.452,0.159,0.236,15.114,1.629,0.236,0.085,2.547,2.549,18.52,,54.762,0.425,,0.313,0.374,,0.08,0.127,0.147,0.609,21.56,4.866,73.40899999999999,3.254291417165668,4.751696606786427,,8.005988023952096,3.56,3.84,2.79,0.42,,10.61,,,,,0.5458764413191278,,,1.090446901612014,,,,,,,,,,,,,,0.5334839862807618,0.6123878727573813,,0.5159321580939075,,,0.6452313002374869,,0.7394818702702189,,0.5441343942550619,0.496943679958003,1.636323342931141,4.087595261852822,5.723918604783963,434.9462365591399,53.34476843910807,CS_L_NPK-N100-P100-K100_21_G
1,SPIN1_1,leaves,1,100.0,100.0,100.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,5.665722379603382,20.56067405002864,13.16298877274445,45.17280698997398,15.43780780764953,285.3310428270911,2.106331203715948,3.148103629113981,2.089732165169384,,,2.13480071433974,9.486912123943862,,,,,0.152,1.09,0.394,0.451,0.158,0.251,15.117,1.624,0.235,0.09,2.599,2.542,18.582,,54.591,0.423,,0.312,0.373,,0.085,0.126,0.197,0.608,21.658,4.868,73.299,3.483074472321784,4.607327757865392,,8.090402230187177,3.44,4.08,2.63,0.41,,10.56,,,,,0.5421600416065798,,,1.078020014887053,,,,,,,,,,,,,,0.532925791950522,0.6123878727573813,,0.5164849609719493,,,0.6442421463937122,,0.7330319836916164,,0.5460555877697154,0.4968874334776051,1.620180056493633,4.082015777012502,5.702195833506135,402.5641025641027,57.17848236551479,CS_L_NPK-N100-P100-K100_21_G
1,SPIN1_1,leaves,1,100.0,100.0,100.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,5.629656528476164,20.4879305950719,13.37334416663711,45.14741704628216,15.36165166353265,284.360071883268,2.09,3.13,2.13,,,2.12,9.48,,,,,0.15,1.0915,0.3945,0.4515,0.1585,0.2435,15.1155,1.6265,0.2355,0.0875,2.573,2.5455,18.551,,54.6765,0.424,,0.3125,0.3735,,0.0825,0.1265,0.172,0.6085,21.609,4.867,73.354,3.368819776714513,4.679425837320574,,8.048245614035087,3.5,3.96,2.71,0.42,,10.59,,,,,0.5440182414628538,,,1.084233458249533,,,,,,,,,,,,,,0.5332048891156419,0.6123878727573813,,0.5162085595329284,,,0.6447367233155996,,0.7362569269809176,,0.5450949910123887,0.4969155567178041,1.628251699712387,4.084805519432662,5.713057219145049,401.4598540145987,49.78498180615283,CS_L_NPK-N100-P100-K100_21_G
2,SPIN2_1,leaves,1,200.0,100.0,100.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,5.985705777248166,20.26822660098522,13.5990621336448,44.85076305943704,15.29624242868476,285.8307542327875,1.516509279297003,3.143806033574036,2.13652345769581,,,2.16954738543311,8.964804622821097,,,,0.097,0.124,0.958,0.441,0.419,0.286,0.214,14.101,1.46,0.21,0.118,2.509,1.125,15.9,,60.03,0.367,,,0.434,0.069,,0.19,0.239,0.71,20.47600000000001,3.218,75.91050000000001,1.808951753536136,3.507847316411548,,5.316799069947685,2.15,2.64,1.79,0.41,,6.99,,,,,0.5146494301602689,,,0.9068787685867106,,,,,,,,,,,,,,0.5129200761585464,0.5691811083782482,,0.4570026902925717,,,0.6193175197257935,,0.6570139480036524,,0.4852758415070765,0.5075580600245929,1.421528198746979,3.808269244090482,5.229797442837461,407.98,340.0195694716243,CS_L_NPK-N200-P100-K100_21_G
2,SPIN2_1,leaves,1,200.0,100.0,100.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,6.127764127764336,20.1994851994852,13.42868494239149,44.42203272200679,15.82203300835218,288.0800154252421,1.49689282903797,2.996941265789137,2.09761230332409,,,2.178117385078099,8.769656549840587,,,,0.095,0.121,0.974,0.459,0.422,0.29,0.206,14.453,1.402,0.22,0.11,2.605,1.198,16.231,,59.142,0.386,,,0.464,0.071,,0.188,0.235,0.728,21.03,3.228,76.18900000000001,1.853156540668909,3.433603799722937,,5.286760340391846,2.12,2.77,1.68,0.4,,6.97,,,,,0.5096826562618063,,,0.9088219585638333,,,,,,,,,,,,,,0.513068305288438,0.5687507822189354,,0.4570026902925717,,,0.6198631322361695,,0.657657015422022,,0.4835723170426899,0.5068414268275251,1.41850461482564,3.806755669328351,5.225260284153991,409.1,361.241768579492,CS_L_NPK-N200-P100-K100_21_G
2,SPIN2_1,leaves,1,200.0,100.0,100.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,6.05673495250625,20.23385590023521,13.51387353801815,44.63639789072191,15.55913771851847,286.9553848290148,1.51,3.07,2.12,,,2.17,8.87,,,,0.096,0.1225,0.966,0.45,0.4205,0.288,0.21,14.277,1.431,0.215,0.114,2.557,1.1615,16.0655,,59.586,0.3765,,,0.449,0.07,,0.189,0.237,0.719,20.753,3.223,75.632,1.830820442529861,3.471118073232817,,5.301938515762679,2.14,2.71,1.74,0.41,,6.98,,,,,0.5121660432110375,,,0.9078503635752719,,,,,,,,,,,,,,0.5129941907234923,0.5689659452985918,,0.4570026902925717,,,0.6195903259809815,,0.6573354817128372,,0.4844240792748832,0.507199743426059,1.420016406786309,3.807512456709417,5.227528863495726,408.23,317.0731707317073,CS_L_NPK-N200-P100-K100_21_G
3,SPIN3_1,leaves,1,200.0,200.0,200.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,6.763668868252233,19.30591142020498,13.04858934169162,40.74932146820701,20.13250890164417,300.1253440380807,0.5345310244718542,2.891075255890524,1.822881029219197,,,2.638377117026131,7.892193807321086,,,,,0.293,1.468,1.087,0.339,0.48,0.221,14.327,1.551,0.186,0.112,2.062,1.482,16.595,,57.684,0.415,,,0.408,,,0.198,0.288,0.803,21.817,3.593,74.47699999999999,3.205662603224538,4.886354699174204,,8.092017302398741,2.84,2.66,2.99,0.68,,9.17,,,,,0.4786134134597608,,,0.9575993897272902,,,,,,,,,,,,,,0.49187311683003,0.5260520144593125,,0.4864032103507857,,,0.5482824871288099,,0.6223954264747638,,0.4969002078393815,0.4756496352988677,1.436212803187051,3.647556098381951,5.083768901569002,365.87,60.91193873999304,CS_L_NPK-N200-P200-K200_21_G
3,SPIN3_1,leaves,1,200.0,200.0,200.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,6.918584335845869,19.26712328767123,13.03662859393362,40.50433152067426,20.27333226187503,301.4377442621464,0.530567879871408,3.06425974698169,1.812955180739412,,,2.67333343477339,8.08578351171667,,,,,0.281,1.4,1.101,0.326,0.476,0.233,14.232,1.626,0.178,0.113,2.011,1.51,16.922,,57.518,0.406,,,0.416,,,0.189,0.298,0.766,21.565,3.695,74.62899999999999,3.443985036424493,4.335892892301635,,7.779877928726128,2.87,2.54,3.14,0.69,,9.24,,,,,0.4799529639865148,,,0.9330673087713035,,,,,,,,,,,,,,0.4918725467276374,0.5262766311796967,,0.4871569063335144,,,0.5475798668590786,,0.6221836476466278,,0.4976220940033643,0.4757589403117284,1.413020272757818,3.648450633061647,5.061470905819466,369.12,63.59559722788423,CS_L_NPK-N200-P200-K200_21_G
3,SPIN3_1,leaves,1,200.0,200.0,200.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,6.841126602049051,19.28651735393811,13.04260896781262,40.62682649444064,20.2029205817596,300.7815441501135,0.53,2.98,1.82,,,2.66,7.99,,,,,0.287,1.434,1.094,0.3325,0.478,0.227,14.2795,1.5885,0.182,0.1125,2.0365,1.496,16.7585,,57.601,0.4105,,,0.412,,,0.1935,0.293,0.7845,21.691,3.644,74.553,3.324741760944417,4.611313330054107,,7.936055090998524,2.86,2.6,3.07,0.69,,9.21,,,,,0.4792831887231378,,,0.9453333492492968,,,,,,,,,,,,,,0.4918728317788337,0.5261643228195045,,0.48678005834215,,,0.5479311769939442,,0.6222895370606958,,0.4972611509213729,0.4757042878052981,1.424616537972434,3.648003365721799,5.072619903694234,360.78,58.89496053430479,CS_L_NPK-N200-P200-K200_21_G
4,SPIN4_1,leaves,1,300.0,100.0,100.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,4.907425841131031,21.85082872928177,13.42281879194728,45.73316553762656,14.08576110001334,279.3795229626129,2.683120421833836,3.40805052418614,2.560190771219006,,,2.629050841209343,11.28952893669945,,,,0.26,0.799,0.279,0.268,0.09,0.239,14.905,1.054,0.257,,3.339,3.453,18.403,54.183,,0.488,,,0.404,0.436,,,0.121,0.209,0.814,22.28,5.013999999999999,72.707,1.367554858934169,,2.427115987460815,3.794670846394984,2.86,2.68,3.01,0.69,,9.24,,,,,0.5106485951348596,,,0.8340256674656801,,,,,,,,,,,,,,0.527326213926604,0.6029927461018622,,0.5042863599798151,,,0.6240066459003757,,0.688449086038928,,0.502466687880643,0.4866446682190764,1.34467426260054,3.936172408047304,5.280846670647844,160.4371389252235,64.5950574993883,CS_L_NPK-N300-P100-K100_21_G
4,SPIN4_1,leaves,1,300.0,100.0,100.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,4.762380690620245,22.33874764595103,13.41605273361672,46.96122896988104,12.40526580327999,276.2252345788723,2.710703672171175,3.437695064163683,2.561814934414696,,,2.676573531469374,11.39447258075206,,,,0.252,0.777,0.284,0.256,0.085,0.226,14.993,1.025,0.23,,3.307,3.418,18.443,54.186,,0.496,,,0.429,0.419,,,0.123,0.218,0.833,22.323,4.925,72.75200000000001,1.408661417322835,,2.483070866141732,3.891732283464567,2.89,2.55,3.16,0.68,,9.28,,,,,0.5143758569299552,,,0.8393452217543891,,,,,,,,,,,,,,0.5275048064424357,0.6049089560968215,,0.5024729693167325,,,0.6231894305914268,,0.6888145367193588,,0.5032220966783316,0.4867337660835888,1.353721078684344,3.936846561928695,5.290567640613039,145.3816330343797,66.77937447168217,CS_L_NPK-N300-P100-K100_21_G
4,SPIN4_1,leaves,1,300.0,100.0,100.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,4.834903265875639,22.0947881876164,13.419435762782,46.34719725375381,13.24551345164667,277.8023787707426,2.7,3.42,2.56,,,2.65,11.34,,,,0.256,0.788,0.2815,0.262,0.0875,0.2325,14.949,1.0395,0.2435,,3.323,3.4355,18.423,54.1845,,0.492,,,0.4165,0.4275,,,0.122,0.2135,0.8234999999999999,22.3015,4.9695,72.7295,1.388059701492537,,2.455027494108406,3.843087195600943,2.88,2.62,3.09,0.69,,9.26,,,,,0.5125122260324074,,,0.8366854446100346,,,,,,,,,,,,,,0.5274155101845198,0.6039508510993419,,0.5033796646482738,,,0.6235980382459012,,0.6886318113791434,,0.5028443922794873,0.4866892171513326,1.349197670642442,3.936509484988,5.285707155630442,147.2951191603536,62.89308176100629,CS_L_NPK-N300-P100-K100_21_G
5,SPIN5_1,leaves,1,0.0,0.0,0.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,5.445348145209278,22.51112659593598,14.18326693227042,45.65475450404234,12.205503822542,279.1841639888801,2.750778455755729,3.803061261235819,2.265095606905946,,,2.479059238392371,11.30339913975414,,,,,0.109,0.783,0.178,0.29,,0.223,13.875,1.158,0.229,,2.677,2.431,17.987,,58.214,0.453,,,0.359,,,0.084,0.176,0.775,19.61399999999999,4.102,76.285,1.220845624385448,,3.406489675516224,4.627335299901672,2.69,3.3,3.13,0.79,,9.91,,,,,0.5543647951744084,,,0.8917233387511917,,,,,,,,,,,,,,0.5101704756621172,0.5564346108438156,,0.4948490276354766,,,0.5963698055828238,,0.6921131962542657,,0.4552888460274926,0.4785208484438796,1.4460881339256,3.783746810449871,5.229834944375471,479.520494972931,322.6452905811623,CS_L_NPK-Ctrl_21_G
5,SPIN5_1,leaves,1,0.0,0.0,0.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,5.105344423967682,21.96769266917293,13.79579111457491,46.04704223149775,13.08412956078672,278.2494731985432,2.748531883362035,4.003682934993523,2.172556895067655,,,2.550190989012035,11.47922182641782,,,,,0.115,0.754,0.191,0.294,,0.219,13.115,1.117,0.219,,2.647,2.336,18.167,,59.017,0.448,,,0.367,,,0.081,0.168,0.745,18.769,3.966,77.265,1.162125073514997,,3.183297392668104,4.345422466183101,2.79,3.23,3.08,0.75,,9.85,,,,,0.5581361930622475,,,0.8855927323529743,,,,,,,,,,,,,,0.5101704756621172,0.5563294971702468,,0.4944883799144512,,,0.595758295533167,,0.6931817347664099,,0.4556905636908306,0.4793247513325376,1.443728925415222,3.78494369806976,5.228672623484982,484.3840579710146,346.7261904761905,CS_L_NPK-Ctrl_21_G
5,SPIN5_1,leaves,1,0.0,0.0,0.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,5.27534628458848,22.23940963255446,13.98952902342266,45.85089836777004,12.64481669166436,278.7168185937117,2.75,3.9,2.22,,,2.51,11.39,,,,,0.112,0.7685,0.1845,0.292,,0.221,13.495,1.1375,0.224,,2.662,2.3835,18.077,,58.6155,0.4505,,,0.363,,,0.0825,0.172,0.76,19.1915,4.034,76.775,1.19143923031612,,3.294718240722561,4.48615747103868,2.74,3.27,3.11,0.77,,9.88,,,,,0.5562504941183279,,,0.888658035552083,,,,,,,,,,,,,,0.5101704756621172,0.5563820540070312,,0.4946687037749639,,,0.5960640505579954,,0.6926474655103378,,0.4554897048591616,0.4789227998882086,1.444908529670411,3.784345254259815,5.229253783930226,480.5871212121211,298.0769230769231,CS_L_NPK-Ctrl_21_G
6,SPIN6_1,leaves,1,300.0,200.0,200.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,5.479588285018098,19.65320121951219,12.57987220447332,45.05576460035966,17.23157369063674,286.9669234064779,0.5661273775403857,2.96769460971008,2.526526594404332,,,2.802224045573383,8.873885988317578,,,,,,0.625,0.199,0.209,0.077,0.151,13.304,1.531,0.177,,1.609,1.112,17.11,,61.979,0.272,,,0.369,,,0.112,0.218,0.946,17.796,3.003,79.201,3.457899901864573,,5.320117762512266,8.77801766437684,3.74,3.77,4.56,0.54,,12.61,,,,,0.3170729584561194,,,0.7031099732000893,,,,,,,,,,,,,,0.5017637212583826,0.5376218033793195,,0.5013251235988118,,,0.5865808298472843,,0.6782641243146441,,0.5081903531764818,0.4760741684822542,1.020182931656209,3.789820124057178,4.810003055713387,503.0444423175092,103.448275862069,CS_L_NPK-N300-P200-K200_21_G
6,SPIN6_1,leaves,1,300.0,200.0,200.0,0,0,1,Cichorium_spinosum,2021,not applied,not applied,Greenhouse,5.75890437952614,19.84025559105431,12.59259259259233,45.22681726957931,16.5814301672479,287.9705169881028,0.5562803299244399,2.953828987467509,2.508997479897569,,,2.829053055954765,8.86078707720352,,,,,,0.622,0.201,0.216,0.073,0.149,13.592,1.47,0.17,,1.513,1.07,16.855,,62.252,0.258,,,0.349,,,0.116,0.206,0.888,17.872,2.905,79.223,3.657847622836682,,5.780783767654665,9.438631390491347,3.7,3.64,4.47,0.57,,12.38,,,,,0.3189340201312825,,,0.7015835117046639,,,,,,,,,,,,,,0.5011560461643617,0.5368818951808514,,0.5018893198867931,,,0.5871292878540604,,0.6787735291929484,,0.5084325795405688,0.4766991545153028,1.020517531835947,3.790961812334886,4.811479344170833,463.0494156504067,107.4356799547639,CS_L_NPK-N300-P200-K200_21_G
